=================================================================================================
                                  ALU VERIFICATION LOG FILE                                      
=================================================================================================
Test# | Operation| IN_A     | IN_B     | OUT      | Flags(VNZ)| EXP_OUT  | EXP_FLAGS| Status
-------------------------------------------------------------------------------------------------
1     | ADD      | 0100 | 0001 | 0101 | 000   | 0101 | 000   | PASS
2     | ADD      | 1001 | 0011 | 1100 | 010   | 1100 | 010   | PASS
3     | ADD      | 1101 | 1101 | 1010 | 010   | 1010 | 010   | PASS
4     | ADD      | 0101 | 0010 | 0111 | 000   | 0111 | 000   | PASS
5     | ADD      | 0001 | 1101 | 1110 | 010   | 1110 | 010   | PASS
6     | ADD      | 0110 | 1101 | 0011 | 000   | 0011 | 000   | PASS
7     | ADD      | 1101 | 1100 | 1001 | 010   | 1001 | 010   | PASS
8     | ADD      | 1001 | 0110 | 1111 | 010   | 1111 | 010   | PASS
9     | ADD      | 0101 | 1010 | 1111 | 010   | 1111 | 010   | PASS
10    | ADD      | 0101 | 0111 | 1100 | 110   | 1100 | 110   | PASS
11    | SUB      | 0010 | 1111 | 0011 | 000   | 0011 | 000   | PASS
12    | SUB      | 0010 | 1110 | 0100 | 000   | 0100 | 000   | PASS
13    | SUB      | 1000 | 0101 | 0011 | 100   | 0011 | 100   | PASS
14    | SUB      | 1100 | 1101 | 1111 | 010   | 1111 | 010   | PASS
15    | SUB      | 1101 | 0101 | 1000 | 010   | 1000 | 010   | PASS
16    | SUB      | 0011 | 1010 | 1001 | 110   | 1001 | 110   | PASS
17    | SUB      | 0000 | 0000 | 0000 | 001   | 0000 | 001   | PASS
18    | SUB      | 1010 | 1101 | 1101 | 010   | 1101 | 010   | PASS
19    | SUB      | 0110 | 0011 | 0011 | 000   | 0011 | 000   | PASS
20    | SUB      | 1101 | 0011 | 1010 | 010   | 1010 | 010   | PASS
21    | SLL      | 1011 | 0101 | 0110 | 000   | 0110 | 000   | PASS
22    | SLL      | 0010 | 1110 | 1000 | 010   | 1000 | 010   | PASS
23    | SLL      | 1101 | 1111 | 1000 | 010   | 1000 | 010   | PASS
24    | SLL      | 0011 | 1010 | 1100 | 010   | 1100 | 010   | PASS
25    | SLL      | 1010 | 1100 | 1010 | 010   | 1010 | 010   | PASS
26    | SLL      | 0010 | 1010 | 1000 | 010   | 1000 | 010   | PASS
27    | SLL      | 0001 | 1000 | 0001 | 000   | 0001 | 000   | PASS
28    | SLL      | 1000 | 1001 | 0000 | 001   | 0000 | 001   | PASS
29    | SLL      | 1011 | 0110 | 1100 | 010   | 1100 | 010   | PASS
30    | SLL      | 0110 | 1110 | 1000 | 010   | 1000 | 010   | PASS
31    | SLT      | 1100 | 1010 | 0000 | 001   | 0000 | 001   | PASS
32    | SLT      | 1011 | 0001 | 0001 | 000   | 0001 | 000   | PASS
33    | SLT      | 0101 | 1111 | 0000 | 001   | 0000 | 001   | PASS
34    | SLT      | 1011 | 1010 | 0000 | 001   | 0000 | 001   | PASS
35    | SLT      | 1110 | 0101 | 0001 | 000   | 0001 | 000   | PASS
36    | SLT      | 0001 | 1001 | 0000 | 001   | 0000 | 001   | PASS
37    | SLT      | 0010 | 1100 | 0000 | 001   | 0000 | 001   | PASS
38    | SLT      | 1111 | 1111 | 0000 | 001   | 0000 | 001   | PASS
39    | SLT      | 1000 | 0111 | 0001 | 000   | 0001 | 000   | PASS
40    | SLT      | 1111 | 1100 | 0000 | 001   | 0000 | 001   | PASS
41    | XOR      | 1011 | 1001 | 0010 | 000   | 0010 | 000   | PASS
42    | XOR      | 1001 | 0000 | 1001 | 010   | 1001 | 010   | PASS
43    | XOR      | 0111 | 0001 | 0110 | 000   | 0110 | 000   | PASS
44    | XOR      | 0110 | 1100 | 1010 | 010   | 1010 | 010   | PASS
45    | XOR      | 0010 | 1000 | 1010 | 010   | 1010 | 010   | PASS
46    | XOR      | 0111 | 1101 | 1010 | 010   | 1010 | 010   | PASS
47    | XOR      | 0010 | 1110 | 1100 | 010   | 1100 | 010   | PASS
48    | XOR      | 1101 | 1001 | 0100 | 000   | 0100 | 000   | PASS
49    | XOR      | 1111 | 0011 | 1100 | 010   | 1100 | 010   | PASS
50    | XOR      | 0101 | 1000 | 1101 | 010   | 1101 | 010   | PASS
51    | SRA      | 1011 | 1001 | 1101 | 010   | 1101 | 010   | PASS
52    | SRA      | 1111 | 1010 | 1111 | 010   | 1111 | 010   | PASS
53    | SRA      | 1000 | 0110 | 1110 | 010   | 1110 | 010   | PASS
54    | SRA      | 1110 | 1100 | 1110 | 010   | 1110 | 010   | PASS
55    | SRA      | 1010 | 0110 | 1110 | 010   | 1110 | 010   | PASS
56    | SRA      | 0011 | 0011 | 0000 | 001   | 0000 | 001   | PASS
57    | SRA      | 1111 | 0011 | 1111 | 010   | 1111 | 010   | PASS
58    | SRA      | 1111 | 0100 | 1111 | 010   | 1111 | 010   | PASS
59    | SRA      | 0111 | 1011 | 0000 | 001   | 0000 | 001   | PASS
60    | SRA      | 0110 | 1010 | 0001 | 000   | 0001 | 000   | PASS
61    | OR       | 1001 | 1101 | 1101 | 010   | 1101 | 010   | PASS
62    | OR       | 1010 | 0101 | 1111 | 010   | 1111 | 010   | PASS
63    | OR       | 0101 | 1111 | 1111 | 010   | 1111 | 010   | PASS
64    | OR       | 1001 | 0100 | 1101 | 010   | 1101 | 010   | PASS
65    | OR       | 0000 | 1010 | 1010 | 010   | 1010 | 010   | PASS
66    | OR       | 1011 | 1110 | 1111 | 010   | 1111 | 010   | PASS
67    | OR       | 1100 | 1010 | 1110 | 010   | 1110 | 010   | PASS
68    | OR       | 1101 | 0011 | 1111 | 010   | 1111 | 010   | PASS
69    | OR       | 0110 | 1110 | 1110 | 010   | 1110 | 010   | PASS
70    | OR       | 0111 | 1010 | 1111 | 010   | 1111 | 010   | PASS
71    | AND      | 0110 | 1000 | 0000 | 001   | 0000 | 001   | PASS
72    | AND      | 1001 | 1000 | 1000 | 010   | 1000 | 010   | PASS
73    | AND      | 0100 | 0011 | 0000 | 001   | 0000 | 001   | PASS
74    | AND      | 0100 | 1001 | 0000 | 001   | 0000 | 001   | PASS
75    | AND      | 1011 | 1101 | 1001 | 010   | 1001 | 010   | PASS
76    | AND      | 1001 | 1101 | 1001 | 010   | 1001 | 010   | PASS
77    | AND      | 0110 | 1010 | 0010 | 000   | 0010 | 000   | PASS
78    | AND      | 0110 | 0101 | 0100 | 000   | 0100 | 000   | PASS
79    | AND      | 0110 | 0100 | 0100 | 000   | 0100 | 000   | PASS
